EngineTemp,BrakePressure,BatteryLife
93.1,34.08,4
86.4,69.02,63
119.6,52.68,12
84.51,58.22,3
96.79,32.16,16
104.49,41.98,71
115.92,55.14,33
91.95,52.57,35
100.58,39.48,36
76.43,31.79,42
80.99,51.22,15
77.87,66.85,94
98.39,61.54,69
85.65,60.76,66
81.41,62.72,91
117.99,47.72,68
71.01,62.17,83
79.24,40.43,35
78.58,31.3,25
70.15,76.55,21
78.45,56.61,73
117.41,49.92,63
100.53,58.06,93
89.72,37.95,17
84.88,63.57,55
111.54,58.45,97
106.98,35.1,29
80.02,37.24,48
96.93,42.07,49
119.47,56.3,25
119.95,65.59,58
71.43,56.16,36
106.51,42.91,97
85.15,32.14,95
81.84,42.53,42
113.2,57.91,31
101.86,68.18,38
87.39,75.25,47
110.9,77.41,19
97.67,56.04,76
102.72,53.92,88
108.36,66.94,58
78.53,39.03,45
93.93,55.49,57
118.92,70.24,96
108.43,74.07,48
89.5,44.2,54
102.57,57.44,70
100.4,64.13,11
119.74,60.41,82
111.64,36.39,77
98.97,62.0,4
100.04,34.83,53
92.06,63.84,93
108.1,32.5,80
71.81,44.1,25
110.08,40.98,80
98.29,71.68,87
83.62,51.05,93
111.79,62.98,75
104.94,67.95,61
79.22,75.48,94
75.62,71.1,63
91.77,68.58,54
87.34,68.68,64
77.15,34.36,56
72.4,30.52,69
74.26,45.83,85
115.15,79.81,46
101.78,40.0,15
82.12,71.71,61
118.29,44.65,100
97.78,58.67,89
115.07,47.32,10
84.49,79.13,98
87.05,66.53,70
71.53,57.96,15
111.54,31.44,51
85.7,42.25,38
109.97,56.04,1
93.72,69.57,51
114.49,60.64,46
86.17,69.51,57
117.17,44.2,39
105.99,58.66,61
92.99,44.82,89
92.77,40.97,43
87.97,67.98,67
119.0,50.04,55
78.08,54.92,51
91.45,79.71,95
70.41,46.21,9
79.89,30.77,91
96.35,30.26,83
106.21,62.15,53
87.35,69.05,91
94.35,34.74,39
113.48,41.11,46
93.85,54.79,69
101.45,57.81,88
106.58,68.32,91
85.83,61.66,1
91.03,73.21,13
103.84,55.19,16
117.19,74.48,83
99.5,67.36,14
82.28,43.46,52
75.23,44.03,38
79.42,70.34,56
75.62,74.62,66
113.21,60.87,34
98.91,63.09,50
104.22,53.42,72
73.33,52.96,33
78.62,44.68,9
88.27,44.02,85
70.4,62.98,23
73.46,57.89,15
73.75,74.43,58
80.9,50.47,56
76.07,44.29,15
91.25,72.8,52
86.44,34.8,0
102.68,50.39,74
79.59,30.94,18
78.67,66.46,54
103.79,59.29,85
75.44,48.52,51
71.35,49.31,58
116.04,36.82,56
80.74,36.3,64
77.33,51.79,49
